Amazon,,Apple,,Microsoft,
1/4/2013,12.958,1/4/2013,1/18/1900,1/4/2013,26.74
1/11/2013,13.397,1/11/2013,1/18/1900,1/11/2013,26.83
1/18/2013,13.606,1/18/2013,1/17/1900,1/18/2013,27.25
1/25/2013,14.2,1/25/2013,1/15/1900,1/25/2013,27.88
2/1/2013,13.25,2/1/2013,1/16/1900,2/1/2013,27.93
2/8/2013,13.098,2/8/2013,1/16/1900,2/8/2013,27.55
2/15/2013,13.254,2/15/2013,1/16/1900,2/15/2013,28.01
2/22/2013,13.271,2/22/2013,1/16/1900,2/22/2013,27.76
3/1/2013,13.287,3/1/2013,1/15/1900,3/1/2013,27.95
3/8/2013,13.71,3/8/2013,1/15/1900,3/8/2013,28
3/15/2013,13.091,3/15/2013,1/15/1900,3/15/2013,28.035
3/22/2013,12.888,3/22/2013,1/16/1900,3/22/2013,28.25
3/29/2013,13.325,3/29/2013,1/15/1900,3/29/2013,28.605
4/5/2013,12.774,4/5/2013,1/15/1900,4/5/2013,28.7
4/12/2013,13.644,4/12/2013,1/15/1900,4/12/2013,28.79
4/19/2013,13.016,4/19/2013,1/13/1900,4/19/2013,29.765
4/26/2013,12.741,4/26/2013,1/14/1900,4/26/2013,31.79
5/3/2013,12.903,5/3/2013,1/16/1900,5/3/2013,33.49
5/10/2013,13.182,5/10/2013,1/16/1900,5/10/2013,32.69
5/17/2013,13.495,5/17/2013,1/15/1900,5/17/2013,34.87
5/24/2013,13.087,5/24/2013,1/15/1900,5/24/2013,34.269
5/31/2013,13.46,5/31/2013,1/16/1900,5/31/2013,34.9
6/7/2013,13.844,6/7/2013,1/15/1900,6/7/2013,35.67
6/14/2013,13.7,6/14/2013,1/15/1900,6/14/2013,34.4
6/21/2013,13.668,6/21/2013,1/14/1900,6/21/2013,33.265
6/28/2013,13.885,6/28/2013,1/14/1900,6/28/2013,34.545
7/5/2013,14.294,7/5/2013,1/14/1900,7/5/2013,34.21
7/12/2013,15.378,7/12/2013,1/15/1900,7/12/2013,35.67
7/19/2013,15.262,7/19/2013,1/15/1900,7/19/2013,31.4
7/26/2013,15.601,7/26/2013,1/15/1900,7/26/2013,31.62
8/2/2013,15.211,8/2/2013,1/16/1900,8/2/2013,31.89
8/9/2013,14.863,8/9/2013,1/16/1900,8/9/2013,32.7
8/16/2013,14.241,8/16/2013,1/17/1900,8/16/2013,31.8
8/23/2013,14.5,8/23/2013,1/17/1900,8/23/2013,34.75
8/30/2013,14.049,8/30/2013,1/17/1900,8/30/2013,33.4
9/6/2013,14.793,9/6/2013,1/17/1900,9/6/2013,31.152
9/13/2013,14.896,9/13/2013,1/16/1900,9/13/2013,33.03
9/20/2013,15.817,9/20/2013,1/16/1900,9/20/2013,32.791
9/27/2013,15.801,9/27/2013,1/17/1900,9/27/2013,33.27
10/4/2013,15.952,10/4/2013,1/17/1900,10/4/2013,33.88
10/11/2013,15.544,10/11/2013,1/17/1900,10/11/2013,34.13
10/18/2013,16.447,10/18/2013,1/18/1900,10/18/2013,34.96
10/25/2013,18.17,10/25/2013,1/18/1900,10/25/2013,35.73
11/1/2013,17.95,11/1/2013,1/18/1900,11/1/2013,35.525
11/8/2013,17.516,11/8/2013,1/18/1900,11/8/2013,37.78
11/15/2013,18.459,11/15/2013,1/18/1900,11/15/2013,37.841
11/22/2013,18.616,11/22/2013,1/18/1900,11/22/2013,37.57
11/29/2013,19.681,11/29/2013,1/19/1900,11/29/2013,38.13
12/6/2013,19.348,12/6/2013,1/20/1900,12/6/2013,38.36
12/13/2013,19.212,12/13/2013,1/19/1900,12/13/2013,36.69
12/20/2013,20.11,12/20/2013,1/19/1900,12/20/2013,36.8
12/27/2013,19.904,12/27/2013,1/20/1900,12/27/2013,37.29
1/3/2014,19.822,1/3/2014,1/19/1900,1/3/2014,36.91
1/10/2014,19.883,1/10/2014,1/19/1900,1/10/2014,36.04
1/17/2014,19.981,1/17/2014,1/19/1900,1/17/2014,36.38
1/24/2014,19.38,1/24/2014,1/19/1900,1/24/2014,36.805
1/31/2014,17.935,1/31/2014,1/17/1900,1/31/2014,37.84
2/7/2014,18.054,2/7/2014,1/18/1900,2/7/2014,36.56
2/14/2014,17.868,2/14/2014,1/19/1900,2/14/2014,37.62
2/21/2014,17.338,2/21/2014,1/18/1900,2/21/2014,37.98
2/28/2014,18.105,2/28/2014,1/18/1900,2/28/2014,38.31
3/7/2014,18.603,3/7/2014,1/18/1900,3/7/2014,37.9
