Date,AMZN,AAPL,MSFT
Amazon,,,
1/4/2013,12.958,18.0,26.74
1/11/2013,13.397,18.0,26.83
1/18/2013,13.606,17.0,27.25
1/25/2013,14.2,15.0,27.88
2/1/2013,13.25,16.0,27.93
2/8/2013,13.098,16.0,27.55
2/15/2013,13.254,16.0,28.01
2/22/2013,13.271,16.0,27.76
3/1/2013,13.287,15.0,27.95
3/8/2013,13.71,15.0,28.0
3/15/2013,13.091,15.0,28.035
3/22/2013,12.888,16.0,28.25
3/29/2013,13.325,15.0,28.605
4/5/2013,12.774,15.0,28.7
4/12/2013,13.644,15.0,28.79
4/19/2013,13.016,13.0,29.765
4/26/2013,12.741,14.0,31.79
5/3/2013,12.903,16.0,33.49
5/10/2013,13.182,16.0,32.69
5/17/2013,13.495,15.0,34.87
5/24/2013,13.087,15.0,34.269
5/31/2013,13.46,16.0,34.9
6/7/2013,13.844,15.0,35.67
6/14/2013,13.7,15.0,34.4
6/21/2013,13.668,14.0,33.265
6/28/2013,13.885,14.0,34.545
7/5/2013,14.294,14.0,34.21
7/12/2013,15.378,15.0,35.67
7/19/2013,15.262,15.0,31.4
7/26/2013,15.601,15.0,31.62
8/2/2013,15.211,16.0,31.89
8/9/2013,14.863,16.0,32.7
8/16/2013,14.241,17.0,31.8
8/23/2013,14.5,17.0,34.75
8/30/2013,14.049,17.0,33.4
9/6/2013,14.793,17.0,31.152
9/13/2013,14.896,16.0,33.03
9/20/2013,15.817,16.0,32.791
9/27/2013,15.801,17.0,33.27
10/4/2013,15.952,17.0,33.88
10/11/2013,15.544,17.0,34.13
10/18/2013,16.447,18.0,34.96
10/25/2013,18.17,18.0,35.73
11/1/2013,17.95,18.0,35.525
11/8/2013,17.516,18.0,37.78
11/15/2013,18.459,18.0,37.841
11/22/2013,18.616,18.0,37.57
11/29/2013,19.681,19.0,38.13
12/6/2013,19.348,20.0,38.36
12/13/2013,19.212,19.0,36.69
12/20/2013,20.11,19.0,36.8
12/27/2013,19.904,20.0,37.29
1/3/2014,19.822,19.0,36.91
1/10/2014,19.883,19.0,36.04
1/17/2014,19.981,19.0,36.38
1/24/2014,19.38,19.0,36.805
1/31/2014,17.935,17.0,37.84
2/7/2014,18.054,18.0,36.56
2/14/2014,17.868,19.0,37.62
2/21/2014,17.338,18.0,37.98
2/28/2014,18.105,18.0,38.31
3/7/2014,18.603,18.0,37.9
3/14/2014,18.687,18.0,37.7
3/21/2014,18.031,19.0,40.16
3/28/2014,16.915,19.0,40.3
4/4/2014,16.15,18.0,39.87
4/11/2014,15.587,18.0,39.209
4/18/2014,16.246,18.0,40.01
4/25/2014,15.192,20.0,39.91
5/2/2014,15.401,21.0,39.69
5/9/2014,14.612,20.0,39.54
5/16/2014,14.885,21.0,39.83
5/23/2014,15.612,21.0,40.12
5/30/2014,15.628,22.0,40.94
6/6/2014,16.484,23.0,41.48
6/13/2014,16.313,22.0,41.23
6/20/2014,16.21,22.0,41.68
6/27/2014,16.229,22.0,42.25
7/4/2014,16.875,23.0,41.8
7/11/2014,17.31,23.0,42.09
7/18/2014,17.933,23.0,44.69
7/25/2014,16.2,24.0,44.5
8/1/2014,15.353,24.0,42.86
8/8/2014,15.84,23.0,43.2
8/15/2014,16.682,24.0,44.79
8/22/2014,16.58,25.0,45.15
8/29/2014,16.952,25.0,45.43
9/5/2014,17.319,24.0,45.91
9/12/2014,16.56,25.0,46.695
9/19/2014,16.566,25.0,47.52
9/26/2014,16.16,25.0,46.41
10/3/2014,16.137,24.0,46.09
10/10/2014,15.57,25.0,44.03
10/17/2014,15.182,24.0,43.63
10/24/2014,14.353,26.0,46.13
10/31/2014,15.273,27.0,46.95
11/7/2014,14.993,27.0,48.68
11/14/2014,16.391,28.0,49.58
11/21/2014,16.632,29.0,47.98
11/28/2014,16.932,29.0,47.81
12/5/2014,15.631,28.0,48.42
12/12/2014,15.366,27.0,46.95
12/19/2014,14.995,27.0,47.66
12/26/2014,15.455,28.0,47.88
1/2/2015,15.426,27.0,46.76
1/9/2015,14.847,28.0,47.19
1/16/2015,14.537,26.0,46.24
1/23/2015,15.619,28.0,47.18
1/30/2015,17.726,29.0,40.4
2/6/2015,18.714,29.0,42.41
2/13/2015,19.092,31.0,43.87
2/20/2015,19.183,32.0,43.855
2/27/2015,19.008,32.0,43.85
3/6/2015,19.005,31.0,42.36
3/13/2015,18.529,30.0,41.38
3/20/2015,18.925,31.0,42.88
3/27/2015,18.528,30.0,40.97
4/3/2015,18.613,31.0,40.29
4/10/2015,19.133,31.0,41.72
4/17/2015,18.778,31.0,41.615
4/24/2015,22.255,32.0,47.87
5/1/2015,21.144,32.0,48.655
5/8/2015,21.685,31.0,47.75
5/15/2015,21.3,32.0,48.295
5/22/2015,21.382,33.0,46.9
5/29/2015,21.462,32.0,46.86
6/5/2015,21.348,32.0,46.14
6/12/2015,21.496,31.0,45.97
6/19/2015,21.746,31.0,46.1
6/26/2015,21.905,31.0,45.26
7/3/2015,21.886,31.0,44.4
7/10/2015,22.176,30.0,44.61
7/17/2015,24.151,32.0,46.62
7/24/2015,26.471,31.0,45.94
7/31/2015,26.807,30.0,46.7
8/7/2015,26.131,28.0,46.74
8/14/2015,26.576,28.0,47.0
8/21/2015,24.724,26.0,43.07
8/28/2015,25.901,28.0,43.93
9/4/2015,24.95,27.0,42.61
9/11/2015,26.472,28.0,43.48
9/18/2015,27.013,28.0,43.48
9/25/2015,26.213,28.0,43.94
10/2/2015,26.627,27.0,45.57
10/9/2015,26.99,28.0,47.11
10/16/2015,28.538,27.0,47.51
10/23/2015,29.952,29.0,52.87
10/30/2015,31.295,29.0,52.64
11/6/2015,32.969,30.0,54.92
11/13/2015,32.118,28.0,52.84
11/20/2015,33.423,29.0,54.19
11/27/2015,33.663,29.0,53.93
12/4/2015,33.632,29.0,55.91
12/11/2015,32.008,28.0,54.06
12/18/2015,33.207,26.0,54.13
12/25/2015,33.14,27.0,55.67
1/1/2016,33.795,26.0,55.48
